当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000110	0.005818	1.000000	0.528710	-0.000110	0.005818	0.000000	0.000000	0.000000	0.000006	-0.052521
0.010000	-0.000110	0.010472	1.000000	-0.608616	-0.000105	0.010482	0.000000	0.000000	0.000000	0.000006	0.257058
0.020000	-0.000110	0.010472	1.000000	0.763309	-0.000126	0.010442	0.000000	0.000000	0.000000	0.000006	-0.028860
0.030000	-0.000110	0.010472	1.000000	0.553211	-0.000136	0.010376	0.000000	0.000000	0.000000	0.000006	0.072423
0.039000	-0.000110	0.017453	1.000000	0.260038	-0.000141	0.017264	0.000000	0.000000	0.000000	0.000006	-0.023609
0.050000	-0.000110	0.017453	1.000000	0.119222	-0.000125	0.017091	0.000000	0.000000	0.000000	0.000006	0.185418
0.060000	-0.000110	0.010472	1.000000	-0.243630	-0.000106	0.009809	0.000000	0.000000	0.000000	0.000006	-0.073440
0.070000	-0.000110	0.010472	1.000000	-0.233376	-0.000056	0.009519	0.000000	0.000000	0.000000	0.000006	-0.024636
0.079000	-0.000110	0.010472	1.000000	-0.028876	0.000009	0.009167	0.000000	0.000000	0.000000	0.000006	0.025975
0.090000	-0.000110	0.006981	1.000000	2.491592	0.000076	0.005232	0.000000	0.000000	0.000000	0.000006	0.110826
0.100000	-0.000110	0.002909	1.000000	1.601145	0.000130	0.000780	0.000000	0.000000	0.000000	0.000006	0.152044
0.110000	-0.000110	0.002909	1.000000	0.478545	0.000168	0.000608	0.000000	0.000000	0.000000	0.000006	-0.097962
0.119000	-0.000110	0.002909	1.000000	-2.048887	0.000217	0.000493	0.000000	0.000000	0.000000	0.000006	-0.068183
0.130000	-0.000123	-0.003491	1.000000	0.143624	0.000252	-0.005954	0.000000	0.000000	0.000000	0.000006	-0.059080
0.140000	-0.000123	-0.003491	1.000000	0.632102	0.000288	-0.005231	0.000000	0.000000	0.000000	0.000006	0.059181
0.150000	-0.000196	0.000000	1.000000	-1.909853	0.000215	-0.000970	0.000000	0.000000	0.000000	0.000006	0.019174
0.160000	-0.000368	0.000000	1.000000	0.372421	0.000047	-0.000696	0.000000	0.000000	0.000000	0.000006	0.061771
0.170000	-0.000540	-0.003491	1.000000	-1.140295	-0.000087	-0.003963	0.000000	0.000000	0.000000	0.000007	0.012547
0.180000	-0.000675	-0.003491	1.000000	-1.566357	-0.000152	-0.003241	0.000000	0.000000	0.000000	0.000007	-0.022441
0.190000	-0.000773	-0.003491	1.000000	-0.340618	-0.000165	-0.002586	0.000000	0.000000	0.000000	0.000007	0.042488
0.200000	-0.000859	0.000000	1.000000	0.539371	-0.000174	0.001462	0.000000	0.000000	0.000000	0.000007	0.043893
0.210000	-0.000932	0.004987	1.000000	-1.503041	-0.000175	0.006304	0.000000	0.000000	0.000000	0.000007	0.155805
