当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000233	-0.004987	1.000000	0.528710	-0.000233	-0.004987	0.000000	0.000000	0.000000	0.000006	-0.052521
0.010000	-0.000245	-0.004987	1.000000	-0.608616	-0.000240	-0.004976	0.000000	0.000000	0.000000	0.000006	0.257058
0.020000	-0.000233	-0.004987	1.000000	0.763309	-0.000247	-0.005012	0.000000	0.000000	0.000000	0.000006	-0.028860
0.030000	-0.000245	-0.004987	1.000000	0.553211	-0.000267	-0.005055	0.000000	0.000000	0.000000	0.000006	0.072423
0.040000	-0.000233	-0.004987	1.000000	0.260038	-0.000252	-0.005088	0.000000	0.000000	0.000000	0.000006	-0.023609
0.050000	-0.000245	-0.004987	1.000000	0.119222	-0.000237	-0.005090	0.000000	0.000000	0.000000	0.000006	0.185418
0.060000	-0.000233	-0.004987	1.000000	-0.243630	-0.000194	-0.005085	0.000000	0.000000	0.000000	0.000006	-0.073440
0.070000	-0.000233	-0.004987	1.000000	-0.233376	-0.000139	-0.005024	0.000000	0.000000	0.000000	0.000006	-0.024636
0.080000	-0.000233	-0.004987	1.000000	-0.028876	-0.000080	-0.004882	0.000000	0.000000	0.000000	0.000006	0.025975
0.090000	-0.000233	-0.004987	1.000000	2.491592	-0.000036	-0.004672	0.000000	0.000000	0.000000	0.000006	0.110826
0.100000	-0.000233	-0.004987	1.000000	1.601145	-0.000017	-0.004414	0.000000	0.000000	0.000000	0.000006	0.152044
0.110000	-0.000233	-0.004987	1.000000	0.478545	-0.000025	-0.004129	0.000000	0.000000	0.000000	0.000006	-0.097962
0.120000	-0.000233	-0.004987	1.000000	-2.048887	-0.000028	-0.003774	0.000000	0.000000	0.000000	0.000006	-0.068183
0.130000	-0.000233	-0.004987	1.000000	0.143624	-0.000034	-0.003353	0.000000	0.000000	0.000000	0.000006	-0.059080
0.140000	-0.000233	-0.004987	1.000000	0.632102	-0.000048	-0.002904	0.000000	0.000000	0.000000	0.000006	0.059181
0.150000	-0.000221	-0.004987	1.000000	-1.909853	-0.000069	-0.002480	0.000000	0.000000	0.000000	0.000006	0.019174
0.160000	-0.000221	-0.004987	1.000000	0.372421	-0.000114	-0.002104	0.000000	0.000000	0.000000	0.000006	0.061771
0.170000	-0.000209	-0.004987	1.000000	-1.140295	-0.000155	-0.001790	0.000000	0.000000	0.000000	0.000007	0.012547
0.180000	-0.000196	-0.004987	1.000000	-1.566357	-0.000195	-0.001535	0.000000	0.000000	0.000000	0.000007	-0.022441
0.190000	-0.000147	-0.004987	1.000000	-0.340618	-0.000193	-0.001325	0.000000	0.000000	0.000000	0.000007	0.042488
0.200000	-0.000074	0.000000	1.000000	0.539371	-0.000180	0.003816	0.000000	0.000000	0.000000	0.000007	0.043893
