当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000221	-0.003491	1.000000	0.528710	-0.000221	-0.003491	0.000000	0.000000	0.000000	0.000006	-0.052521
0.009000	-0.000233	-0.003491	0.000000	-0.608616	-0.000216	-0.003480	0.001010	0.000000	0.000000	0.001016	0.257058
0.019000	-0.000233	0.002909	1.000000	0.763309	-0.000249	0.002882	0.000000	0.000000	0.000000	0.000006	-0.028860
0.029000	-0.000221	0.002909	0.000000	0.553211	-0.000256	0.002827	0.001010	0.000000	0.000000	0.001016	0.072423
0.040000	-0.000233	0.002909	0.000000	0.260038	-0.000272	0.002773	0.001010	0.000000	0.000000	0.001016	-0.023609
0.049000	-0.000221	0.006981	1.000000	0.119222	-0.000270	0.006800	0.000000	0.000000	0.000000	0.000006	0.185418
0.059000	-0.000221	0.006981	0.000000	-0.243630	-0.000232	0.006643	0.001010	0.000000	0.000000	0.001016	-0.073440
0.069000	-0.000233	0.006981	0.000000	-0.233376	-0.000227	0.006573	0.001010	0.000000	0.000000	0.001016	-0.024636
0.080000	-0.000233	0.006981	0.000000	-0.028876	-0.000213	0.006534	0.001010	0.000000	0.000000	0.001016	0.025975
0.089000	-0.000233	0.006981	0.000000	2.491592	-0.000197	0.006504	0.001011	0.000000	0.000000	0.001016	0.110826
0.099000	-0.000221	0.002909	1.000000	1.601145	-0.000188	0.002388	0.000001	0.000000	0.000000	0.000006	0.152044
0.109000	-0.000221	0.006981	1.000000	0.478545	-0.000060	0.006192	0.000000	0.000000	0.000000	0.000006	-0.097962
0.120000	-0.000221	0.006981	0.000000	-2.048887	0.000018	0.005510	0.001010	0.000000	0.000000	0.001016	-0.068183
0.130000	-0.000221	0.002909	1.000000	0.143624	0.000091	0.001383	0.000000	0.000000	0.000000	0.000006	-0.059080
0.139000	-0.000221	0.002909	0.000000	0.632102	0.000138	0.001181	0.001010	0.000000	0.000000	0.001017	0.059181
0.149000	-0.000233	0.002909	0.000000	-1.909853	0.000229	0.001187	0.001010	0.000000	0.000000	0.001017	0.019174
0.160000	-0.000233	0.002909	0.000000	0.372421	0.000329	0.001208	0.001011	0.000000	0.000000	0.001017	0.061771
0.170000	-0.000233	0.002909	0.000000	-1.140295	0.000432	0.001239	0.001011	0.000000	0.000000	0.001018	0.012547
0.179000	-0.000233	0.002909	0.000000	-1.566357	0.000543	0.001282	0.001011	0.000000	0.000000	0.001018	-0.022441
0.189000	-0.000245	0.002909	0.000000	-0.340618	0.000663	0.001348	0.001011	0.000000	0.000000	0.001019	0.042488
0.199000	-0.000270	0.002909	0.000000	0.539371	0.000786	0.001422	0.001011	0.000000	0.000000	0.001019	0.043893
0.210000	-0.000356	0.002909	0.000000	-1.503041	0.000910	0.001496	0.001011	0.000000	0.000000	0.001020	0.155805
0.219000	-0.000466	0.002909	0.000000	-0.907624	0.001023	0.001546	0.001012	0.000000	0.000000	0.001021	-0.104672
0.229000	-0.000577	0.002909	0.000000	-0.766397	0.001155	0.001617	0.001012	0.000000	0.000000	0.001022	-0.023353
0.239000	-0.000675	-0.003491	1.000000	-0.395314	0.000839	-0.004685	0.000002	0.000000	0.000000	0.000013	0.015785
0.250000	-0.000773	-0.003491	0.000000	-0.954115	0.000155	-0.001821	0.001011	0.000000	0.000000	0.001019	-0.094155
0.259000	-0.000871	0.000000	1.000000	1.690475	-0.000001	0.001895	0.000001	0.000000	0.000000	0.000010	0.077730
0.269000	-0.000945	0.004987	1.000000	0.506832	-0.000054	0.006172	0.000000	0.000000	0.000000	0.000008	0.075548
0.279000	-0.001018	0.004987	0.000000	-1.450753	-0.000008	0.004049	0.001010	0.000000	0.000000	0.001018	-0.007416
0.290000	-0.001079	0.010472	1.000000	-0.216309	-0.000109	0.009484	0.000000	0.000000	0.000000	0.000008	0.167155
0.299000	-0.001129	0.006981	1.000000	0.638696	-0.000052	0.002787	0.000000	0.000000	0.000000	0.000008	-0.005978
0.309000	-0.001190	0.006981	0.000000	-0.478795	0.000072	0.001849	0.001010	0.000000	0.000000	0.001017	0.029877
0.319000	-0.001263	0.007480	0.000000	-1.654021	0.000209	0.001746	0.001010	0.000000	0.000000	0.001018	0.142750
0.330000	-0.001362	0.004987	0.000000	0.682247	0.000364	0.001695	0.001011	0.000000	0.000000	0.001018	0.147140
0.339000	-0.001484	0.004987	0.000000	-1.911083	0.000534	0.001676	0.001011	0.000000	0.000000	0.001019	0.099792
0.349000	-0.001644	0.005818	0.000000	-0.427640	0.000723	0.001693	0.001011	0.000000	0.000000	0.001019	-0.054206
0.359000	-0.001815	0.005818	0.000000	1.333399	0.000944	0.001777	0.001011	0.000000	0.000000	0.001020	-0.032950
0.370000	-0.002036	0.010472	1.000000	0.279931	0.000282	0.005417	0.000001	0.000000	0.000000	0.000010	0.000977
0.380000	-0.002257	0.002909	1.000000	-0.759678	0.000110	-0.004596	0.000001	0.000000	0.000000	0.000009	0.123736
0.389000	-0.002502	0.002909	0.000000	0.478438	0.000320	-0.002779	0.001010	0.000000	0.000000	0.001018	-0.100677
0.399000	-0.002785	0.000000	0.000000	-0.736726	0.000612	-0.002511	0.001011	0.000000	0.000000	0.001018	-0.001368
0.410000	-0.003140	0.010472	1.000000	0.046076	0.000036	0.005362	0.000001	0.000000	0.000000	0.000009	0.191486
0.420000	-0.003459	0.010472	0.000000	-1.102523	0.000332	0.003599	0.001010	0.000000	0.000000	0.001018	0.107980
0.429000	-0.003815	0.014544	1.000000	-0.730471	-0.000010	0.007864	0.000001	0.000000	0.000000	0.000008	-0.012487
0.439000	-0.004171	0.005818	1.000000	0.316328	0.000025	-0.003372	0.000000	0.000000	0.000000	0.000008	0.124019
0.449000	-0.004539	0.005818	0.000000	-0.487644	0.000422	-0.002187	0.001010	0.000000	0.000000	0.001018	-0.046727
0.460000	-0.004968	0.000000	1.000000	-0.104545	0.000067	-0.007684	0.000000	0.000000	0.000000	0.000008	0.134064
0.469000	-0.005373	0.006981	1.000000	0.013899	0.000065	0.001926	0.000000	0.000000	0.000000	0.000007	-0.122074
0.479000	-0.005790	0.006981	0.000000	-0.626691	0.000492	0.001925	0.001010	0.000000	0.000000	0.001017	0.154014
0.489000	-0.006244	0.010472	1.000000	0.523416	0.000063	0.005875	0.000000	0.000000	0.000000	0.000008	-0.167830
0.500000	-0.006771	0.000000	1.000000	1.110627	-0.000014	-0.005709	0.000000	0.000000	0.000000	0.000007	0.079109
0.509000	-0.007262	0.000000	0.000000	-0.198681	0.000463	-0.003872	0.001010	0.000000	0.000000	0.001017	0.178470
0.519000	-0.007777	0.004987	1.000000	-0.313526	-0.000086	0.001588	0.000000	0.000000	0.000000	0.000007	-0.089411
0.529000	-0.008305	0.004987	0.000000	2.100962	0.000429	0.001640	0.001010	0.000000	0.000000	0.001017	0.021932
0.540000	-0.008906	0.000000	1.000000	-0.917517	-0.000218	-0.002892	0.000000	0.000000	0.000000	0.000008	-0.017124
0.549000	-0.009445	0.006981	1.000000	-2.022387	-0.000167	0.005350	0.000000	0.000000	0.000000	0.000007	0.065062
0.559000	-0.009961	0.006981	0.000000	-2.275925	0.000402	0.004499	0.001010	0.000000	0.000000	0.001017	-0.051474
0.569000	-0.010451	-0.003491	1.000000	-0.459681	-0.000084	-0.005557	0.000000	0.000000	0.000000	0.000007	0.087098
0.580000	-0.011003	0.000000	1.000000	-1.719550	-0.000094	-0.000166	0.000000	0.000000	0.000000	0.000007	-0.033093
0.589000	-0.011518	0.000000	0.000000	0.452851	0.000448	0.000360	0.001010	0.000000	0.000000	0.001017	0.160999
0.599000	-0.012021	0.000000	0.000000	0.612788	0.000931	0.000795	0.001010	0.000000	0.000000	0.001018	-0.071291
0.609000	-0.012537	0.000000	0.000000	-0.338521	0.001415	0.001210	0.001011	0.000000	0.000000	0.001018	0.112277
0.620000	-0.013101	0.000000	0.000000	0.996067	0.001880	0.001590	0.001011	0.000000	0.000000	0.001018	0.000230
0.630000	-0.013616	0.000000	0.000000	-0.604115	0.002339	0.001942	0.001011	0.000000	0.000000	0.001019	0.009756
0.639000	-0.014119	0.000000	0.000000	-1.387060	0.002790	0.002276	0.001011	0.000000	0.000000	0.001020	0.014203
0.649000	-0.014597	0.000000	1.000000	0.387677	-0.000363	0.002590	0.000001	0.000000	0.000000	0.000010	0.104916
0.660000	-0.015100	-0.004987	1.000000	-1.097909	-0.000127	-0.003324	0.000001	0.000000	0.000000	0.000008	0.057271
0.670000	-0.015530	-0.004987	0.000000	0.306920	0.000400	-0.001902	0.001010	0.000000	0.000000	0.001018	-0.049242
0.679000	-0.015971	0.000000	1.000000	0.384917	-0.000006	0.003377	0.000000	0.000000	0.000000	0.000008	-0.016226
0.689000	-0.016401	0.000000	0.000000	-0.955872	0.000468	0.002517	0.001010	0.000000	0.000000	0.001018	-0.124922
0.699000	-0.016830	0.000000	0.000000	0.426740	0.000953	0.002776	0.001010	0.000000	0.000000	0.001018	-0.065862
0.710000	-0.017308	-0.003491	1.000000	0.515378	0.000105	-0.000426	0.000001	0.000000	0.000000	0.000009	0.082912
0.719000	-0.017762	-0.003491	0.000000	1.469069	0.000518	0.000013	0.001010	0.000000	0.000000	0.001018	0.059566
0.729000	-0.018253	-0.004987	0.000000	-0.622464	0.000974	0.000277	0.001011	0.000000	0.000000	0.001018	-0.043294
0.739000	-0.018731	0.000000	1.000000	0.394327	0.000007	0.004030	0.000001	0.000000	0.000000	0.000009	0.034245
0.750000	-0.019246	0.000000	0.000000	-0.313035	0.000461	0.002737	0.001010	0.000000	0.000000	0.001018	-0.023569
0.759000	-0.019700	0.000000	0.000000	-0.301214	0.000928	0.002924	0.001011	0.000000	0.000000	0.001019	0.003300
0.769000	-0.020130	-0.008727	1.000000	-0.117269	-0.000002	-0.005596	0.000001	0.000000	0.000000	0.000009	-0.099570
0.779000	-0.020547	-0.008727	0.000000	0.811510	0.000460	-0.003141	0.001010	0.000000	0.000000	0.001018	0.109955
0.790000	-0.021013	0.000000	1.000000	-0.782656	0.000007	0.005913	0.000001	0.000000	0.000000	0.000008	0.007979
0.799000	-0.021430	0.000000	0.000000	-1.376824	0.000435	0.004061	0.001010	0.000000	0.000000	0.001018	-0.029231
0.809000	-0.021835	0.000000	0.000000	-1.087448	0.000870	0.004226	0.001011	0.000000	0.000000	0.001018	0.101780
0.819000	-0.022252	0.000000	0.000000	-1.505035	0.001294	0.004382	0.001011	0.000000	0.000000	0.001019	-0.035611
0.830000	-0.022706	-0.011636	1.000000	1.029571	0.000028	-0.007093	0.000001	0.000000	0.000000	0.000009	0.246084
0.839000	-0.023123	-0.011636	0.000000	-1.056759	0.000382	-0.003978	0.001010	0.000000	0.000000	0.001018	0.040018
0.849000	-0.023552	-0.004987	1.000000	0.554055	-0.000119	0.002900	0.000001	0.000000	0.000000	0.000009	0.000495
0.859000	-0.023957	-0.004987	0.000000	0.469107	0.000285	0.001991	0.001010	0.000000	0.000000	0.001018	0.021618
0.870000	-0.024374	0.000000	1.000000	-0.556874	-0.000206	0.007075	0.000001	0.000000	0.000000	0.000008	-0.105247
0.880000	-0.024730	0.000000	0.000000	0.036597	0.000258	0.004733	0.001010	0.000000	0.000000	0.001018	-0.000313
0.889000	-0.025049	0.000000	0.000000	0.245435	0.000632	0.004749	0.001011	0.000000	0.000000	0.001018	-0.078920
0.899000	-0.025355	-0.004987	1.000000	-0.134907	0.000038	-0.000177	0.000001	0.000000	0.000000	0.000009	-0.087869
0.910000	-0.025711	0.000000	1.000000	-0.314457	0.000056	0.004997	0.000000	0.000000	0.000000	0.000008	0.059096
0.920000	-0.026042	0.000000	0.000000	0.724924	0.000430	0.003598	0.001010	0.000000	0.000000	0.001018	-0.073471
0.929000	-0.026373	0.000000	0.000000	-1.319658	0.000843	0.003688	0.001010	0.000000	0.000000	0.001018	-0.039534
0.939000	-0.026729	0.000000	0.000000	1.328352	0.001267	0.003824	0.001011	0.000000	0.000000	0.001018	0.163353
0.949000	-0.027097	0.000000	0.000000	-1.669607	0.001676	0.003951	0.001011	0.000000	0.000000	0.001019	-0.240105
0.960000	-0.027514	0.000000	0.000000	1.697064	0.002114	0.004129	0.001011	0.000000	0.000000	0.001020	0.123229
0.969000	-0.027894	0.000000	0.000000	0.247362	0.002537	0.004315	0.001011	0.000000	0.000000	0.001020	0.026692
0.979000	-0.028311	0.000000	0.000000	1.434332	0.002955	0.004488	0.001011	0.000000	0.000000	0.001021	0.081015
