当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000258	0.000000	0.000000	-0.525209	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.010000	-0.000258	0.000000	0.000000	0.528710	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.020000	-0.000258	0.000000	0.000000	2.570582	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.030000	-0.000258	0.000000	0.000000	-0.608616	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.040000	-0.000258	0.000000	0.000000	-0.288598	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.050000	-0.000258	0.000000	0.000000	0.763309	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.060000	-0.000258	0.000000	0.000000	0.724230	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.070000	-0.000258	0.000000	0.000000	0.553211	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	0.000000	0.000000
0.080000	-0.000258	0.000000	0.000000	-0.236094	0.000000	0.000000	0.001011	0.000000	0.000000	0.001016	0.000000	0.000000
0.090000	-0.000258	0.000000	0.000000	0.260038	0.000000	0.000000	0.001011	0.000000	0.000000	0.001016	0.000000	0.000000
0.100000	-0.000258	0.000000	0.000000	1.854184	0.000000	0.000000	0.001011	0.000000	0.000000	0.001016	0.000000	0.000000
0.110000	-0.000258	0.000000	0.000000	0.119222	0.000000	0.000000	0.001011	0.000000	0.000000	0.001016	0.000000	0.000000
0.120000	-0.000258	0.000000	0.000000	-0.734402	0.000000	0.000000	0.001011	0.000000	0.000000	0.001017	0.000000	0.000000
0.130000	-0.000258	0.000000	0.000000	-0.243630	0.000000	0.000000	0.001011	0.000000	0.000000	0.001017	0.000000	0.000000
