当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000270	0.005818	1.000000	2.570582	-0.000270	0.005818	0.000000	0.000000	0.000000	0.000006	-0.052521	0.052871
0.010000	-0.000270	0.010472	1.000000	0.763309	-0.000270	0.010472	0.000000	0.000000	0.000000	0.000006	-0.060862	-0.028860
0.020000	-0.000270	0.010472	0.000000	0.724230	-0.000268	0.010469	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.029000	-0.000270	0.010472	0.000000	0.553211	-0.000266	0.010468	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.039000	-0.000270	0.010472	0.000000	-0.236094	-0.000265	0.010467	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.050000	-0.000270	0.010472	0.000000	0.260038	-0.000263	0.010466	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.060000	-0.000270	0.010472	0.000000	1.854184	-0.000261	0.010465	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.070000	-0.000270	0.010472	0.000000	0.119222	-0.000259	0.010464	0.001010	0.000000	0.000000	0.001016	-0.060862	-0.028860
0.079000	-0.000270	0.002909	1.000000	-0.246358	-0.000257	0.002900	0.000000	0.000000	0.000000	0.000006	-0.073440	-0.024363
0.090000	-0.000270	0.002909	0.000000	-0.233376	-0.000114	0.002767	0.001010	0.000000	0.000000	0.001016	-0.073440	-0.024363
0.100000	-0.000270	0.006981	1.000000	1.108265	-0.000085	0.006832	0.000001	0.000000	0.000000	0.000006	0.025975	-0.002888
0.110000	-0.000270	0.006981	0.000000	2.491592	-0.000001	0.006269	0.001010	0.000000	0.000000	0.001016	0.025975	-0.002888
0.119000	-0.000270	0.017453	1.000000	-0.979618	0.000053	0.016702	0.000001	0.000000	0.000000	0.000006	0.152044	0.160115
0.130000	-0.000270	0.006981	1.000000	-2.048887	0.000110	0.004100	0.000000	0.000000	0.000000	0.000006	0.047855	-0.068183
0.140000	-0.000270	0.006981	0.000000	-0.590798	0.000178	0.003393	0.001010	0.000000	0.000000	0.001017	0.047855	-0.068183
0.150000	-0.000270	0.002909	1.000000	0.632102	0.000318	-0.000781	0.000000	0.000000	0.000000	0.000007	0.014362	0.059181
0.159000	-0.000282	-0.003491	1.000000	0.617709	0.000319	-0.007066	0.000000	0.000000	0.000000	0.000007	0.019174	-0.190985
0.170000	-0.000307	-0.003491	0.000000	0.372421	0.000338	-0.005705	0.001010	0.000000	0.000000	0.001017	0.019174	-0.190985
0.180000	-0.000417	-0.003491	0.000000	0.125467	0.000476	-0.005554	0.001010	0.000000	0.000000	0.001017	0.019174	-0.190985
0.190000	-0.000577	0.000000	1.000000	-1.566357	0.000323	-0.001905	0.000001	0.000000	0.000000	0.000007	-0.114029	-0.022441
0.199000	-0.000748	0.000000	0.000000	0.424883	0.000283	-0.001252	0.001010	0.000000	0.000000	0.001017	-0.114029	-0.022441
0.210000	-0.000920	0.000000	0.000000	-0.340618	0.000396	-0.001075	0.001011	0.000000	0.000000	0.001018	-0.114029	-0.022441
0.220000	-0.001067	0.000000	0.000000	0.438926	0.000506	-0.000909	0.001011	0.000000	0.000000	0.001018	-0.114029	-0.022441
0.230000	-0.001214	0.000000	0.000000	0.539371	0.000613	-0.000754	0.001011	0.000000	0.000000	0.001019	-0.114029	-0.022441
0.239000	-0.001349	0.004987	1.000000	-1.046723	-0.000055	0.004378	0.000001	0.000000	0.000000	0.000009	0.155805	-0.150304
0.250000	-0.001497	0.004987	0.000000	-0.907624	0.000105	0.002717	0.001011	0.000000	0.000000	0.001018	0.155805	-0.150304
0.260000	-0.001631	0.000000	1.000000	0.157851	-0.000041	-0.002219	0.000001	0.000000	0.000000	0.000009	-0.023353	-0.076640
0.270000	-0.001791	0.004987	1.000000	-0.954115	-0.000038	0.003679	0.000000	0.000000	0.000000	0.000008	-0.039531	-0.094155
0.279000	-0.001950	0.004987	0.000000	0.777303	0.000134	0.002679	0.001010	0.000000	0.000000	0.001018	-0.039531	-0.094155
0.289000	-0.002122	0.010472	1.000000	0.506832	-0.000031	0.008257	0.000000	0.000000	0.000000	0.000008	0.169047	0.075548
0.300000	-0.002318	0.000000	1.000000	1.671552	-0.000014	-0.004625	0.000000	0.000000	0.000000	0.000007	-0.007416	-0.145075
0.310000	-0.002527	0.000000	0.000000	-0.216309	0.000209	-0.003336	0.001010	0.000000	0.000000	0.001017	-0.007416	-0.145075
0.320000	-0.002748	0.000000	0.000000	-0.059779	0.000440	-0.003176	0.001010	0.000000	0.000000	0.001018	-0.007416	-0.145075
0.329000	-0.002981	0.000000	0.000000	0.638696	0.000684	-0.002986	0.001011	0.000000	0.000000	0.001018	-0.007416	-0.145075
0.340000	-0.003275	0.000000	0.000000	0.298773	0.000936	-0.002773	0.001011	0.000000	0.000000	0.001019	-0.007416	-0.145075
0.350000	-0.003545	0.006981	1.000000	-1.654021	-0.000030	0.004441	0.000001	0.000000	0.000000	0.000009	-0.047879	0.142750
0.360000	-0.003815	0.006981	0.000000	1.471402	0.000274	0.002918	0.001011	0.000000	0.000000	0.001018	-0.047879	0.142750
0.369000	-0.004097	0.000000	1.000000	-1.911083	0.000027	-0.003886	0.000001	0.000000	0.000000	0.000009	0.068225	0.099792
0.380000	-0.004404	0.000000	0.000000	-0.542057	0.000318	-0.002256	0.001010	0.000000	0.000000	0.001018	0.068225	0.099792
0.390000	-0.004698	0.000000	0.000000	-0.427640	0.000626	-0.001946	0.001011	0.000000	0.000000	0.001018	0.068225	0.099792
0.400000	-0.005005	0.000000	0.000000	-0.329504	0.000936	-0.001637	0.001011	0.000000	0.000000	0.001019	0.068225	0.099792
0.409000	-0.005299	0.000000	0.000000	1.333399	0.001245	-0.001330	0.001011	0.000000	0.000000	0.001020	0.068225	0.099792
0.420000	-0.005643	0.000000	0.000000	0.009772	0.001554	-0.001027	0.001011	0.000000	0.000000	0.001020	0.068225	0.099792
0.430000	-0.005962	0.000000	0.000000	0.279931	0.001861	-0.000730	0.001011	0.000000	0.000000	0.001021	0.068225	0.099792
0.440000	-0.006268	0.000000	0.000000	1.237356	0.002165	-0.000440	0.001011	0.000000	0.000000	0.001022	0.068225	0.099792
0.449000	-0.006587	0.000000	0.000000	-0.759678	0.002467	-0.000159	0.001011	0.000000	0.000000	0.001023	0.068225	0.099792
0.460000	-0.006943	0.000000	0.000000	-1.006767	0.002764	0.000112	0.001012	0.000000	0.000000	0.001024	0.068225	0.099792
0.470000	-0.007274	0.000000	1.000000	-0.736726	-0.000120	0.000372	0.000002	0.000000	0.000000	0.000015	0.047844	-0.001368
0.480000	-0.007605	0.000000	0.000000	1.914865	0.000288	0.000377	0.001011	0.000000	0.000000	0.001020	0.047844	-0.001368
0.489000	-0.007949	0.000000	0.000000	0.046076	0.000591	0.000611	0.001011	0.000000	0.000000	0.001021	0.047844	-0.001368
0.500000	-0.008317	0.000000	0.000000	1.079801	0.000892	0.000840	0.001011	0.000000	0.000000	0.001021	0.047844	-0.001368
0.510000	-0.008648	-0.008727	1.000000	-0.730471	-0.000185	-0.007665	0.000001	0.000000	0.000000	0.000012	-0.110252	-0.012487
0.520000	-0.008967	-0.004987	1.000000	-0.467269	-0.000106	0.000611	0.000000	0.000000	0.000000	0.000009	0.124019	0.031633
0.529000	-0.009274	-0.004987	0.000000	-0.487644	0.000189	0.000713	0.001010	0.000000	0.000000	0.001018	0.124019	0.031633
0.539000	-0.009556	0.000000	1.000000	-1.220745	-0.000182	0.005959	0.000000	0.000000	0.000000	0.000008	0.134064	-0.010455
0.550000	-0.009826	-0.003491	1.000000	-0.626691	-0.000150	0.000537	0.000000	0.000000	0.000000	0.000008	0.001390	0.154014
0.560000	-0.010046	-0.003491	0.000000	-1.678300	0.000131	0.000456	0.001010	0.000000	0.000000	0.001018	0.001390	0.154014
0.570000	-0.010255	-0.004987	0.000000	0.523416	0.000349	0.000519	0.001010	0.000000	0.000000	0.001018	0.001390	0.154014
0.579000	-0.010451	-0.004987	0.000000	0.791091	0.000562	0.000577	0.001011	0.000000	0.000000	0.001018	0.001390	0.154014
0.590000	-0.010660	-0.004987	0.000000	1.110627	0.000769	0.000629	0.001011	0.000000	0.000000	0.001019	0.001390	0.154014
0.600000	-0.010844	-0.008727	1.000000	-0.894108	-0.000048	-0.004560	0.000001	0.000000	0.000000	0.000009	0.178470	-0.019868
0.610000	-0.011028	-0.008727	0.000000	-0.313526	0.000167	-0.002630	0.001011	0.000000	0.000000	0.001018	0.178470	-0.019868
0.619000	-0.011199	-0.008727	0.000000	0.219322	0.000330	-0.002519	0.001011	0.000000	0.000000	0.001019	0.178470	-0.019868
0.630000	-0.011383	-0.004987	1.000000	-0.917517	-0.000065	0.001295	0.000001	0.000000	0.000000	0.000009	0.210096	-0.017124
0.640000	-0.011531	-0.004987	0.000000	0.650618	0.000111	0.000795	0.001010	0.000000	0.000000	0.001018	0.210096	-0.017124
0.650000	-0.011666	0.000000	1.000000	-2.275925	-0.000044	0.005767	0.000001	0.000000	0.000000	0.000009	-0.202239	-0.051474
0.659000	-0.011788	-0.008727	1.000000	-0.330935	-0.000007	-0.005117	0.000000	0.000000	0.000000	0.000008	0.087098	-0.045968
0.670000	-0.011911	-0.008727	0.000000	-1.719550	0.000127	-0.003666	0.001010	0.000000	0.000000	0.001018	0.087098	-0.045968
0.680000	-0.012009	-0.004987	1.000000	-0.712910	0.000031	0.000050	0.000000	0.000000	0.000000	0.000008	0.160999	0.045285
0.690000	-0.012119	-0.004987	0.000000	0.612788	0.000134	-0.000002	0.001010	0.000000	0.000000	0.001018	0.160999	0.045285
0.699000	-0.012218	-0.004987	0.000000	1.122767	0.000243	-0.000044	0.001010	0.000000	0.000000	0.001018	0.160999	0.045285
0.710000	-0.012328	-0.004987	0.000000	-0.338521	0.000346	-0.000090	0.001011	0.000000	0.000000	0.001018	0.160999	0.045285
0.720000	-0.012426	-0.004987	0.000000	0.002298	0.000444	-0.000140	0.001011	0.000000	0.000000	0.001019	0.160999	0.045285
0.730000	-0.012512	0.000000	1.000000	-0.604115	0.000032	0.004794	0.000001	0.000000	0.000000	0.000009	0.099607	0.009756
0.739000	-0.012586	-0.008727	1.000000	1.049160	0.000038	-0.006029	0.000000	0.000000	0.000000	0.000008	0.014203	-0.138706
0.750000	-0.012659	-0.008727	0.000000	0.387677	0.000112	-0.004123	0.001010	0.000000	0.000000	0.001018	0.014203	-0.138706
0.760000	-0.012745	-0.004987	1.000000	-0.492424	0.000035	-0.000399	0.000000	0.000000	0.000000	0.000008	0.057271	-0.109791
0.770000	-0.012819	0.000000	1.000000	0.384917	0.000019	0.004684	0.000000	0.000000	0.000000	0.000008	0.030692	-0.016226
0.779000	-0.012892	0.000000	0.000000	-1.249219	0.000087	0.003336	0.001010	0.000000	0.000000	0.001017	0.030692	-0.016226
0.789000	-0.012941	-0.008727	1.000000	0.426740	0.000043	-0.005490	0.000000	0.000000	0.000000	0.000008	-0.095587	-0.065862
0.800000	-0.013015	-0.008727	0.000000	0.829119	0.000089	-0.003996	0.001010	0.000000	0.000000	0.001018	-0.095587	-0.065862
0.810000	-0.013064	-0.008727	0.000000	0.515378	0.000141	-0.003994	0.001010	0.000000	0.000000	0.001018	-0.095587	-0.065862
