当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000159	-0.008727	1.000000	2.570582	-0.000159	-0.008727	0.000000	0.000000	0.000000	0.000006	-0.005252	0.005287
0.011000	-0.000159	-0.008727	0.000000	-0.608616	-0.000159	-0.008727	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.021000	-0.000159	-0.008727	0.000000	-0.288598	-0.000159	-0.008727	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.030000	-0.000159	-0.008727	0.000000	0.763309	-0.000159	-0.008727	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.040000	-0.000159	-0.008727	0.000000	0.724230	-0.000159	-0.008726	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.051000	-0.000159	-0.012467	1.000000	0.260038	-0.000159	-0.012466	0.000000	0.000000	0.000000	0.000006	0.005532	-0.002361
0.061000	-0.000159	-0.012467	0.000000	1.854184	-0.000126	-0.012302	0.001010	0.000000	0.000000	0.001016	0.005532	-0.002361
0.070000	-0.000159	-0.008727	1.000000	-0.243630	-0.000123	-0.008537	0.000000	0.000000	0.000000	0.000006	0.001192	-0.007344
0.080000	-0.000159	-0.008727	0.000000	-0.246358	-0.000080	-0.008249	0.001010	0.000000	0.000000	0.001016	0.001192	-0.007344
0.091000	-0.000159	-0.012467	1.000000	-0.028876	-0.000080	-0.011944	0.000000	0.000000	0.000000	0.000006	-0.002334	0.002598
0.101000	-0.000159	-0.017453	1.000000	1.520438	-0.000058	-0.016171	0.000000	0.000000	0.000000	0.000006	0.011083	0.024916
0.110000	-0.000159	-0.017453	0.000000	1.601145	-0.000072	-0.014849	0.001010	0.000000	0.000000	0.001016	0.011083	0.024916
0.120000	-0.000159	-0.017453	0.000000	-0.979618	-0.000132	-0.014698	0.001010	0.000000	0.000000	0.001016	0.011083	0.024916
0.131000	-0.000147	-0.012467	1.000000	-2.048887	-0.000203	-0.009618	0.000001	0.000000	0.000000	0.000006	0.004785	-0.006818
0.141000	-0.000147	-0.012467	0.000000	-0.590798	-0.000207	-0.008146	0.001010	0.000000	0.000000	0.001017	0.004785	-0.006818
0.150000	-0.000147	-0.008727	1.000000	0.632102	-0.000341	-0.004321	0.000001	0.000000	0.000000	0.000007	0.001436	0.005918
0.160000	-0.000135	-0.017453	1.000000	0.617709	-0.000315	-0.012197	0.000000	0.000000	0.000000	0.000007	0.001917	-0.019099
0.171000	-0.000061	-0.017453	0.000000	0.372421	-0.000377	-0.009807	0.001010	0.000000	0.000000	0.001017	0.001917	-0.019099
0.181000	0.000025	-0.017453	0.000000	0.125467	-0.000607	-0.009741	0.001010	0.000000	0.000000	0.001017	0.001917	-0.019099
0.191000	0.000159	-0.017453	0.000000	-1.140295	-0.000878	-0.009777	0.001011	0.000000	0.000000	0.001018	0.001917	-0.019099
0.200000	0.000393	-0.017453	0.000000	-0.224410	-0.001184	-0.009898	0.001011	0.000000	0.000000	0.001018	0.001917	-0.019099
0.210000	0.000711	-0.012467	1.000000	-0.340618	-0.000675	-0.005102	0.000001	0.000000	0.000000	0.000008	-0.015664	0.004249
0.221000	0.001079	-0.012467	0.000000	0.438926	-0.000573	-0.003556	0.001011	0.000000	0.000000	0.001018	-0.015664	0.004249
0.231000	0.001447	-0.010908	0.000000	0.539371	-0.000934	-0.003788	0.001011	0.000000	0.000000	0.001018	-0.015664	0.004249
0.240000	0.001852	-0.008727	1.000000	-1.046723	-0.000184	-0.000350	0.000001	0.000000	0.000000	0.000009	0.015581	-0.015030
0.250000	0.002294	-0.008727	0.000000	-0.907624	-0.000481	-0.000583	0.001010	0.000000	0.000000	0.001018	0.015581	-0.015030
0.261000	0.002821	-0.004987	1.000000	0.157851	0.000060	0.002749	0.000001	0.000000	0.000000	0.000008	-0.002335	-0.007664
0.271000	0.003312	-0.014960	1.000000	-0.954115	0.000078	-0.008657	0.000000	0.000000	0.000000	0.000008	-0.003953	-0.009416
0.280000	0.003852	-0.014960	0.000000	0.777303	-0.000431	-0.006571	0.001010	0.000000	0.000000	0.001018	-0.003953	-0.009416
0.290000	0.004416	-0.014960	0.000000	1.690475	-0.000937	-0.006985	0.001010	0.000000	0.000000	0.001018	-0.003953	-0.009416
0.301000	0.005078	-0.014960	0.000000	0.755485	-0.001466	-0.007444	0.001011	0.000000	0.000000	0.001018	-0.003953	-0.009416
0.311000	0.005729	-0.014960	0.000000	0.506832	-0.002014	-0.007937	0.001011	0.000000	0.000000	0.001019	-0.003953	-0.009416
0.320000	0.006366	0.000000	1.000000	1.671552	0.000477	0.006506	0.000001	0.000000	0.000000	0.000009	-0.000742	-0.014508
