当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000172	0.004987	1.000000	2.570582	-0.000172	0.004987	0.000000	0.000000	0.000000	0.000006	-0.005252	0.005287
0.010000	-0.000172	0.004987	0.000000	-0.608616	-0.000172	0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.020000	-0.000172	0.005818	0.000000	-0.288598	-0.000172	0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.030000	-0.000172	0.005818	0.000000	0.763309	-0.000172	0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.040000	-0.000172	0.010472	1.000000	-0.236094	-0.000172	0.010472	0.000000	0.000000	0.000000	0.000006	0.007242	0.005532
0.050000	-0.000172	0.017453	1.000000	0.119222	-0.000146	0.017377	0.000000	0.000000	0.000000	0.000006	0.002600	0.018542
0.060000	-0.000172	0.017453	0.000000	-0.734402	-0.000101	0.017146	0.001010	0.000000	0.000000	0.001016	0.002600	0.018542
0.070000	-0.000172	0.002909	1.000000	-0.233376	-0.000075	0.002565	0.000000	0.000000	0.000000	0.000006	-0.002436	-0.002464
0.080000	-0.000172	0.002909	0.000000	0.259752	-0.000015	0.002465	0.001010	0.000000	0.000000	0.001016	-0.002436	-0.002464
0.090000	-0.000172	0.002909	0.000000	-0.028876	0.000027	0.002448	0.001010	0.000000	0.000000	0.001016	-0.002436	-0.002464
0.100000	-0.000172	0.004987	0.000000	1.108265	0.000075	0.002444	0.001011	0.000000	0.000000	0.001016	-0.002436	-0.002464
0.110000	-0.000172	0.004987	0.000000	2.491592	0.000126	0.002451	0.001011	0.000000	0.000000	0.001016	-0.002436	-0.002464
0.120000	-0.000172	0.004987	0.000000	1.520438	0.000181	0.002467	0.001011	0.000000	0.000000	0.001017	-0.002436	-0.002464
0.130000	-0.000184	0.005818	0.000000	1.601145	0.000239	0.002491	0.001011	0.000000	0.000000	0.001017	-0.002436	-0.002464
0.140000	-0.000184	0.005818	0.000000	-0.979618	0.000299	0.002520	0.001011	0.000000	0.000000	0.001017	-0.002436	-0.002464
0.150000	-0.000184	0.005818	0.000000	0.478545	0.000361	0.002554	0.001011	0.000000	0.000000	0.001017	-0.002436	-0.002464
0.160000	-0.000196	0.005818	0.000000	-0.681835	0.000424	0.002591	0.001012	0.000000	0.000000	0.001018	-0.002436	-0.002464
0.170000	-0.000245	0.005818	0.000000	-2.048887	0.000489	0.002629	0.001012	0.000000	0.000000	0.001018	-0.002436	-0.002464
0.180000	-0.000319	0.010472	1.000000	0.591812	0.000408	0.010232	0.000002	0.000000	0.000000	0.000009	-0.005908	0.001436
0.190000	-0.000393	0.010472	0.000000	0.632102	0.000125	0.006346	0.001011	0.000000	0.000000	0.001018	-0.005908	0.001436
0.200000	-0.000466	0.010472	0.000000	0.191736	0.000230	0.006201	0.001011	0.000000	0.000000	0.001019	-0.005908	0.001436
0.210000	-0.000552	0.006981	1.000000	0.372421	0.000131	0.002639	0.000001	0.000000	0.000000	0.000009	-0.019099	0.006177
0.220000	-0.000662	-0.003491	1.000000	-0.224410	0.000099	-0.008902	0.000000	0.000000	0.000000	0.000008	0.001255	-0.011403
0.229000	-0.000785	-0.003491	0.000000	-1.566357	0.000214	-0.005926	0.001010	0.000000	0.000000	0.001018	0.001255	-0.011403
0.240000	-0.000957	0.000000	1.000000	0.438926	0.000079	-0.002222	0.000000	0.000000	0.000000	0.000008	0.004249	-0.003406
0.250000	-0.001129	0.000000	0.000000	0.539371	0.000195	-0.001303	0.001010	0.000000	0.000000	0.001018	0.004249	-0.003406
0.260000	-0.001313	0.000000	0.000000	1.558054	0.000340	-0.001077	0.001010	0.000000	0.000000	0.001018	0.004249	-0.003406
0.270000	-0.001497	0.004987	1.000000	-0.907624	-0.000059	0.004119	0.000001	0.000000	0.000000	0.000008	-0.015030	-0.010467
0.280000	-0.001693	0.004987	0.000000	-0.233533	0.000126	0.002841	0.001010	0.000000	0.000000	0.001018	-0.015030	-0.010467
0.290000	-0.001889	0.006981	0.000000	-0.766397	0.000288	0.002960	0.001011	0.000000	0.000000	0.001018	-0.015030	-0.010467
0.300000	-0.002061	0.005818	0.000000	0.157851	0.000457	0.003091	0.001011	0.000000	0.000000	0.001019	-0.015030	-0.010467
0.310000	-0.002245	0.005818	0.000000	-0.395314	0.000630	0.003232	0.001011	0.000000	0.000000	0.001019	-0.015030	-0.010467
0.320000	-0.002453	0.002909	0.000000	-0.941550	0.000808	0.003378	0.001011	0.000000	0.000000	0.001020	-0.015030	-0.010467
0.330000	-0.002650	0.000000	1.000000	1.690475	-0.000164	-0.001459	0.000001	0.000000	0.000000	0.000011	-0.009541	0.007773
0.340000	-0.002846	0.000000	0.000000	0.755485	0.000151	-0.000551	0.001011	0.000000	0.000000	0.001019	-0.009541	0.007773
0.350000	-0.003042	0.000000	0.000000	0.506832	0.000340	-0.000349	0.001011	0.000000	0.000000	0.001019	-0.009541	0.007773
0.360000	-0.003263	0.010472	1.000000	1.671552	-0.000086	0.010315	0.000001	0.000000	0.000000	0.000010	-0.000742	-0.014508
0.370000	-0.003447	0.010472	0.000000	-0.216309	0.000197	0.005771	0.001010	0.000000	0.000000	0.001019	-0.000742	-0.014508
0.380000	-0.003643	0.000000	1.000000	0.298773	0.000079	-0.004700	0.000001	0.000000	0.000000	0.000009	-0.000598	0.006387
0.390000	-0.003852	0.010472	1.000000	-1.654021	0.000101	0.007708	0.000000	0.000000	0.000000	0.000008	-0.004788	0.014275
0.400000	-0.004109	0.010472	0.000000	1.471402	0.000356	0.005472	0.001010	0.000000	0.000000	0.001018	-0.004788	0.014275
0.410000	-0.004367	-0.003491	1.000000	-1.911083	0.000162	-0.008352	0.000000	0.000000	0.000000	0.000008	0.006822	0.009979
0.420000	-0.004637	-0.003491	0.000000	-0.542057	0.000404	-0.005562	0.001010	0.000000	0.000000	0.001018	0.006822	0.009979
0.430000	-0.004943	0.000000	1.000000	1.333399	0.000137	-0.001719	0.000000	0.000000	0.000000	0.000008	-0.004276	-0.003295
0.440000	-0.005287	0.006981	1.000000	1.237356	0.000027	0.006117	0.000000	0.000000	0.000000	0.000007	0.000098	0.002799
0.450000	-0.005618	0.006981	0.000000	-0.759678	0.000316	0.004821	0.001010	0.000000	0.000000	0.001017	0.000098	0.002799
0.460000	-0.005949	0.010472	1.000000	-0.013677	-0.000040	0.008560	0.000000	0.000000	0.000000	0.000008	-0.010068	0.004784
0.470000	-0.006281	0.000000	1.000000	0.046076	-0.000020	-0.004013	0.000000	0.000000	0.000000	0.000007	-0.007367	0.019149
0.479000	-0.006624	0.000000	0.000000	1.079801	0.000336	-0.002828	0.001010	0.000000	0.000000	0.001017	-0.007367	0.019149
0.490000	-0.007029	0.000000	0.000000	-1.102523	0.000696	-0.002551	0.001010	0.000000	0.000000	0.001018	-0.007367	0.019149
0.500000	-0.007409	0.000000	0.000000	-0.124871	0.001064	-0.002253	0.001011	0.000000	0.000000	0.001018	-0.007367	0.019149
0.510000	-0.007789	0.000000	0.000000	-0.730471	0.001438	-0.001940	0.001011	0.000000	0.000000	0.001018	-0.007367	0.019149
0.520000	-0.008170	0.006981	1.000000	-0.467269	-0.000072	0.005366	0.000001	0.000000	0.000000	0.000009	0.012402	0.003163
0.530000	-0.008587	0.002909	1.000000	-0.104545	-0.000036	-0.000443	0.000000	0.000000	0.000000	0.000008	-0.004876	0.013406
0.540000	-0.008967	0.002909	0.000000	-1.220745	0.000407	-0.000048	0.001010	0.000000	0.000000	0.001018	-0.004876	0.013406
0.550000	-0.009359	0.004987	0.000000	0.013899	0.000848	0.000253	0.001010	0.000000	0.000000	0.001018	-0.004876	0.013406
0.560000	-0.009777	0.004987	0.000000	1.540138	0.001300	0.000581	0.001011	0.000000	0.000000	0.001019	-0.004876	0.013406
0.570000	-0.010243	0.006981	1.000000	0.523416	0.000105	0.005003	0.000001	0.000000	0.000000	0.000009	-0.006267	-0.016783
0.580000	-0.010684	0.000000	1.000000	1.784696	0.000079	-0.003583	0.000000	0.000000	0.000000	0.000008	0.007911	0.011106
0.590000	-0.011163	0.000000	0.000000	-0.198681	0.000526	-0.002126	0.001010	0.000000	0.000000	0.001018	0.007911	0.011106
0.600000	-0.011653	0.000000	0.000000	-0.894108	0.001015	-0.001733	0.001010	0.000000	0.000000	0.001018	0.007911	0.011106
0.610000	-0.012218	0.000000	0.000000	-0.313526	0.001508	-0.001327	0.001011	0.000000	0.000000	0.001019	0.007911	0.011106
0.620000	-0.012757	0.000000	0.000000	0.219322	0.002004	-0.000915	0.001011	0.000000	0.000000	0.001019	0.007911	0.011106
0.630000	-0.013273	0.000000	0.000000	2.100962	0.002501	-0.000500	0.001011	0.000000	0.000000	0.001020	0.007911	0.011106
0.640000	-0.013775	0.000000	0.000000	-0.171235	0.002997	-0.000087	0.001011	0.000000	0.000000	0.001020	0.007911	0.011106
0.650000	-0.014315	0.000000	1.000000	-2.022387	-0.000140	0.000322	0.000001	0.000000	0.000000	0.000011	-0.009175	0.006506
0.660000	-0.014806	0.000000	0.000000	-0.514743	0.000472	0.000557	0.001011	0.000000	0.000000	0.001019	-0.009175	0.006506
0.670000	-0.015309	0.000000	0.000000	-2.275925	0.000977	0.000947	0.001011	0.000000	0.000000	0.001020	-0.009175	0.006506
0.680000	-0.015812	0.000000	0.000000	0.870984	0.001479	0.001331	0.001011	0.000000	0.000000	0.001020	-0.009175	0.006506
0.690000	-0.016364	0.000000	0.000000	-0.459681	0.001976	0.001705	0.001011	0.000000	0.000000	0.001021	-0.009175	0.006506
0.700000	-0.016891	0.000000	0.000000	-0.330935	0.002468	0.002067	0.001011	0.000000	0.000000	0.001022	-0.009175	0.006506
0.710000	-0.017431	0.000000	0.000000	-1.719550	0.002954	0.002415	0.001011	0.000000	0.000000	0.001023	-0.009175	0.006506
