当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000282	0.000000	1.000000	0.528710	-0.000282	0.000000	0.000000	0.000000	0.000000	0.000006	-0.052521
0.010000	-0.000282	0.000000	1.000000	-0.608616	-0.000277	0.000011	0.000000	0.000000	0.000000	0.000006	0.257058
0.020000	-0.000282	0.000000	1.000000	0.763309	-0.000296	-0.000027	0.000000	0.000000	0.000000	0.000006	-0.028860
0.030000	-0.000282	0.000000	1.000000	0.553211	-0.000301	-0.000077	0.000000	0.000000	0.000000	0.000006	0.072423
0.040000	-0.000282	0.000000	1.000000	0.260038	-0.000294	-0.000129	0.000000	0.000000	0.000000	0.000006	-0.023609
0.050000	-0.000282	0.000000	1.000000	0.119222	-0.000258	-0.000170	0.000000	0.000000	0.000000	0.000006	0.185418
0.060000	-0.000282	0.000000	1.000000	-0.243630	-0.000215	-0.000232	0.000000	0.000000	0.000000	0.000006	-0.073440
0.070000	-0.000282	0.000000	1.000000	-0.233376	-0.000143	-0.000277	0.000000	0.000000	0.000000	0.000006	-0.024636
0.080000	-0.000282	0.000000	1.000000	-0.028876	-0.000064	-0.000288	0.000000	0.000000	0.000000	0.000006	0.025975
0.090000	-0.000282	0.000000	1.000000	2.491592	0.000002	-0.000284	0.000000	0.000000	0.000000	0.000006	0.110826
0.100000	-0.000282	0.000000	1.000000	1.601145	0.000044	-0.000289	0.000000	0.000000	0.000000	0.000006	0.152044
0.109000	-0.000282	0.000000	1.000000	0.478545	0.000060	-0.000316	0.000000	0.000000	0.000000	0.000006	-0.097962
0.120000	-0.000282	0.000000	1.000000	-2.048887	0.000085	-0.000313	0.000000	0.000000	0.000000	0.000006	-0.068183
0.130000	-0.000282	0.000000	1.000000	0.143624	0.000108	-0.000267	0.000000	0.000000	0.000000	0.000006	-0.059080
0.140000	-0.000282	0.000000	1.000000	0.632102	0.000126	-0.000196	0.000000	0.000000	0.000000	0.000006	0.059181
0.149000	-0.000282	0.000000	1.000000	-1.909853	0.000126	-0.000134	0.000000	0.000000	0.000000	0.000006	0.019174
0.160000	-0.000282	0.000000	1.000000	0.372421	0.000117	-0.000088	0.000000	0.000000	0.000000	0.000006	0.061771
0.170000	-0.000282	0.000000	1.000000	-1.140295	0.000097	-0.000062	0.000000	0.000000	0.000000	0.000007	0.012547
0.180000	-0.000282	0.000000	1.000000	-1.566357	0.000078	-0.000047	0.000000	0.000000	0.000000	0.000007	-0.022441
0.189000	-0.000282	0.000000	1.000000	-0.340618	0.000063	-0.000030	0.000000	0.000000	0.000000	0.000007	0.042488
0.200000	-0.000282	0.000000	1.000000	0.539371	0.000044	-0.000022	0.000000	0.000000	0.000000	0.000007	0.043893
0.210000	-0.000282	0.000000	1.000000	-1.503041	0.000024	-0.000029	0.000000	0.000000	0.000000	0.000007	0.155805
0.220000	-0.000282	0.000000	1.000000	-0.907624	-0.000006	-0.000067	0.000000	0.000000	0.000000	0.000007	-0.104672
0.229000	-0.000282	0.000000	1.000000	-0.766397	-0.000013	-0.000086	0.000000	0.000000	0.000000	0.000007	-0.023353
0.240000	-0.000282	0.000000	1.000000	-0.395314	-0.000014	-0.000080	0.000000	0.000000	0.000000	0.000007	0.015785
0.250000	-0.000282	0.000000	1.000000	-0.954115	-0.000016	-0.000073	0.000000	0.000000	0.000000	0.000007	-0.094155
0.260000	-0.000282	0.000000	1.000000	1.690475	-0.000006	-0.000047	0.000000	0.000000	0.000000	0.000007	0.077730
0.270000	-0.000282	0.000000	1.000000	0.506832	-0.000007	-0.000034	0.000000	0.000000	0.000000	0.000007	0.075548
0.280000	-0.000282	0.000000	1.000000	-1.450753	-0.000015	-0.000045	0.000000	0.000000	0.000000	0.000007	-0.007416
0.290000	-0.000282	0.000000	1.000000	-0.216309	-0.000018	-0.000057	0.000000	0.000000	0.000000	0.000007	0.167155
0.300000	-0.000282	0.000000	1.000000	0.638696	-0.000035	-0.000096	0.000000	0.000000	0.000000	0.000007	-0.005978
0.310000	-0.000282	0.000000	1.000000	-0.478795	-0.000040	-0.000133	0.000000	0.000000	0.000000	0.000007	0.029877
0.320000	-0.000282	0.000000	1.000000	-1.654021	-0.000042	-0.000157	0.000000	0.000000	0.000000	0.000007	0.142750
0.330000	-0.000282	0.000000	1.000000	0.682247	-0.000052	-0.000198	0.000000	0.000000	0.000000	0.000007	0.147140
0.340000	-0.000282	0.000000	1.000000	-1.911083	-0.000066	-0.000259	0.000000	0.000000	0.000000	0.000007	0.099792
0.350000	-0.000282	0.000000	1.000000	-0.427640	-0.000075	-0.000322	0.000000	0.000000	0.000000	0.000007	-0.054206
0.359000	-0.000282	0.000000	1.000000	1.333399	-0.000065	-0.000349	0.000000	0.000000	0.000000	0.000007	-0.032950
0.370000	-0.000270	0.000000	1.000000	0.279931	-0.000034	-0.000336	0.000000	0.000000	0.000000	0.000007	0.000977
0.380000	-0.000282	0.000000	1.000000	-0.759678	-0.000031	-0.000306	0.000000	0.000000	0.000000	0.000007	0.123736
0.390000	-0.000270	0.000000	1.000000	0.478438	-0.000013	-0.000293	0.000000	0.000000	0.000000	0.000007	-0.100677
0.399000	-0.000270	0.000000	1.000000	-0.736726	0.000003	-0.000260	0.000000	0.000000	0.000000	0.000007	-0.001368
0.410000	-0.000270	0.000000	1.000000	0.046076	0.000015	-0.000213	0.000000	0.000000	0.000000	0.000007	0.191486
0.420000	-0.000270	0.000000	1.000000	-1.102523	0.000004	-0.000206	0.000000	0.000000	0.000000	0.000007	0.107980
0.430000	-0.000270	0.000000	1.000000	-0.730471	-0.000011	-0.000230	0.000000	0.000000	0.000000	0.000007	-0.012487
0.439000	-0.000270	0.000000	1.000000	0.316328	-0.000015	-0.000243	0.000000	0.000000	0.000000	0.000007	0.124019
0.450000	-0.000270	0.000000	1.000000	-0.487644	-0.000026	-0.000262	0.000000	0.000000	0.000000	0.000007	-0.046727
0.460000	-0.000270	0.000000	1.000000	-0.104545	-0.000022	-0.000265	0.000000	0.000000	0.000000	0.000007	0.134064
0.470000	-0.000270	0.000000	1.000000	0.013899	-0.000029	-0.000274	0.000000	0.000000	0.000000	0.000007	-0.122074
0.479000	-0.000258	0.000000	1.000000	-0.626691	-0.000003	-0.000255	0.000000	0.000000	0.000000	0.000007	0.154014
0.490000	-0.000258	0.000000	1.000000	0.523416	-0.000011	-0.000247	0.000000	0.000000	0.000000	0.000007	-0.167830
0.500000	-0.000245	0.000000	1.000000	1.110627	0.000017	-0.000210	0.000000	0.000000	0.000000	0.000007	0.079109
0.510000	-0.000221	0.000000	1.000000	-0.198681	0.000040	-0.000172	0.000000	0.000000	0.000000	0.000007	0.178470
0.520000	-0.000209	0.000000	1.000000	-0.313526	0.000025	-0.000180	0.000000	0.000000	0.000000	0.000007	-0.089411
0.530000	-0.000209	0.000000	1.000000	2.100962	0.000013	-0.000177	0.000000	0.000000	0.000000	0.000007	0.021932
