当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000294	0.010472	1.000000	0.528710	-0.000294	0.010472	0.000000	0.000000	0.000000	0.000006	-0.052521
0.011000	-0.000294	0.010472	0.000000	-0.608616	-0.000289	0.010482	0.001010	0.000000	0.000000	0.001016	0.257058
0.021000	-0.000294	0.017453	1.000000	0.763309	-0.000311	0.017426	0.000000	0.000000	0.000000	0.000006	-0.028860
0.030000	-0.000294	0.010472	1.000000	0.553211	-0.000315	0.010370	0.000000	0.000000	0.000000	0.000006	0.072423
0.040000	-0.000294	0.010472	0.000000	0.260038	-0.000306	0.010276	0.001010	0.000000	0.000000	0.001016	-0.023609
0.051000	-0.000294	0.017453	1.000000	0.119222	-0.000304	0.017203	0.000000	0.000000	0.000000	0.000006	0.185418
0.061000	-0.000294	0.006981	1.000000	-0.243630	-0.000247	0.006441	0.000000	0.000000	0.000000	0.000006	-0.073440
0.070000	-0.000294	0.006981	0.000000	-0.233376	-0.000153	0.006226	0.001010	0.000000	0.000000	0.001016	-0.024636
0.080000	-0.000294	0.006981	0.000000	-0.028876	-0.000098	0.006164	0.001010	0.000000	0.000000	0.001016	0.025975
0.091000	-0.000294	0.010472	1.000000	2.491592	-0.000037	0.009617	0.000000	0.000000	0.000000	0.000006	0.110826
0.101000	-0.000294	0.010472	0.000000	1.601145	0.000048	0.009003	0.001010	0.000000	0.000000	0.001016	0.152044
0.110000	-0.000294	0.010472	0.000000	0.478545	0.000119	0.008897	0.001011	0.000000	0.000000	0.001016	-0.097962
0.120000	-0.000294	0.014544	1.000000	-2.048887	0.000216	0.012912	0.000001	0.000000	0.000000	0.000006	-0.068183
0.131000	-0.000307	0.014544	0.000000	0.143624	0.000221	0.011275	0.001010	0.000000	0.000000	0.001017	-0.059080
0.141000	-0.000307	0.010472	1.000000	0.632102	0.000361	0.007139	0.000001	0.000000	0.000000	0.000007	0.059181
0.150000	-0.000343	0.010472	0.000000	-1.909853	0.000342	0.005893	0.001010	0.000000	0.000000	0.001017	0.019174
0.160000	-0.000417	0.006981	1.000000	0.372421	0.000417	0.002362	0.000001	0.000000	0.000000	0.000007	0.061771
0.171000	-0.000564	0.017453	1.000000	-1.140295	0.000261	0.012343	0.000000	0.000000	0.000000	0.000007	0.012547
0.181000	-0.000748	0.017453	0.000000	-1.566357	0.000385	0.009770	0.001010	0.000000	0.000000	0.001017	-0.022441
0.190000	-0.000945	0.006981	1.000000	-0.340618	0.000276	-0.000733	0.000000	0.000000	0.000000	0.000007	0.042488
0.200000	-0.001165	0.000000	1.000000	0.539371	0.000230	-0.007457	0.000000	0.000000	0.000000	0.000007	0.043893
0.210000	-0.001435	0.000000	0.000000	-1.503041	0.000436	-0.005585	0.001010	0.000000	0.000000	0.001017	0.155805
